n10287213_man,0
n10787470_woman,1
n00007846_person,2
n07942152_people,3
n05564590_hand,4
n10285313_male_child,5
n14845743_water,6
n09917593_child,7
n10129825_girl,8
n09334396_land,9
n02084071_dog,10
n10084295_female_child,11
n05563770_arm,12
n02958343_car,13
n05216365_body,14
n14974264_paper,15
n09827683_baby,16
n01320872_female,17
n03365592_floor,18
n05600637_face,19
n15098161_wood,20
n04546855_wall,21
n05566504_finger,22
n00021265_food,23
n05538625_head,24
n12102133_grass,25
n04490091_truck,26
n00017222_plant,27
n02374451_horse,28
n04108268_rope,29
n13104059_tree,30
n10622053_soldier,31
n07985628_couple,32
n02858304_boat,33
n02121620_cat,34
n01503061_bird,35
n09225146_body_of_water,36
n02691156_airplane,37
n03309808_fabric,38
n03623556_knife,39
n05254795_hair,40
n08569998_field,41
n02908217_brush,42
n10448983_policeman,43
n02881193_bowl,44
n10020890_doctor,45
n03699975_machine,46
n09416076_rock,47
n02883344_box,48
n10101634_football_player,49
n05560787_leg,50
n10665698_student,51
n11669921_flower,52
n05217688_person,53
n10375506_old_man,54
n09918248_child,55
n10332385_mother,56
n14844693_soil,57
n10804287_young_buck,58
n04317420_stick,59
n02778669_ball,60
n02834778_bicycle,61
n10694258_teacher,62
n04465501_tractor,63
n05302499_mouth,64
n02876657_bottle,65
n09835506_ballplayer,66
n09820263_athlete,67
n07649854_meat,68
n00031264_group,69
n02512053_fish,70
n04401088_telephone,71
n08209687_police,72
n10078806_farmer,73
n03539875_hose,74
n15101854_board,75
n03906997_pen,76
n06410904_book,77
n02909870_bucket,78
n03094503_container,79
